"","Sexo","Escolaridad","Num_Pers_Hogar","Sala_Mens_Antes","Sala_Mens_Desp","Index_Dep5T"
"643",1,2,5,7,7,30
"644",1,2,4,3,NA,7
"645",2,3,3,3,4,2
"646",1,4,3,4,NA,18
"647",1,2,3,2,2,24
"648",1,2,4,5,6,4
"649",2,3,4,5,5,11
"650",1,3,3,3,3,0
"651",1,2,3,1,1,7
"652",2,3,1,2,NA,16
"653",1,3,3,NA,NA,9
"654",1,4,2,7,7,2
"655",1,4,4,2,2,17
"656",1,2,4,5,5,14
"657",2,4,2,7,7,8
"658",1,3,5,7,7,13
"659",1,2,3,3,3,7
"660",2,4,3,4,4,13
"661",1,2,5,2,2,9
"662",1,2,2,3,3,1
"663",1,6,2,7,7,19
"664",1,5,3,1,2,11
"665",2,3,4,NA,7,11
"666",1,2,1,2,2,7
"667",1,3,1,2,2,5
"668",1,3,3,2,2,3
"669",2,3,4,3,3,21
"670",1,2,5,3,3,24
"671",1,2,3,4,4,9
"672",1,4,3,3,3,14
"673",1,3,4,2,2,3
"674",2,2,4,5,4,26
"675",1,2,5,4,4,18
"676",1,5,3,7,7,8
"677",2,2,2,6,6,8
"678",2,3,3,4,4,19
"679",2,3,4,6,6,4
"680",1,4,2,2,2,6
"681",2,4,2,4,4,2
"682",1,2,2,3,3,8
"683",2,3,4,7,4,3
"684",1,4,6,NA,7,15
"685",1,6,2,6,6,19
"686",1,2,1,NA,7,1
"687",1,3,3,4,4,9
"688",2,4,2,5,5,14
"689",1,4,4,NA,NA,5
"690",2,4,4,2,2,8
"691",1,4,2,NA,7,5
"692",1,3,4,1,1,2
"693",1,3,1,2,2,1
"694",1,4,3,5,5,18
"695",2,2,2,3,NA,2
"696",1,2,6,4,4,26
"697",1,4,2,4,4,8
"698",2,6,4,7,7,12
"699",NA,3,3,2,NA,2
"700",1,1,2,1,1,1
"701",1,5,3,3,3,15
"702",1,6,2,1,1,21
"703",1,2,4,6,6,16
"704",1,4,3,6,5,12
"705",NA,2,4,5,4,16
"706",2,4,4,7,7,9
"707",1,4,5,7,7,4
"708",2,3,4,7,7,26
"709",2,2,4,4,4,0
"710",NA,4,2,1,1,16
"711",2,4,2,7,7,12
"712",1,5,2,7,7,8
"713",1,2,2,7,7,8
"714",2,3,2,4,4,15
"715",1,2,3,1,1,22
"716",2,4,2,4,4,1
"717",NA,3,5,6,5,11
"718",1,1,2,NA,5,1
"719",1,2,2,1,2,11
"720",2,3,3,4,4,16
"721",1,5,4,7,7,9
"722",1,2,2,2,2,4
"723",2,4,1,1,1,6
"724",2,3,3,7,7,8
"725",1,4,4,5,5,13
"726",1,6,2,7,7,17
"727",1,2,3,2,NA,14
"728",NA,2,3,1,1,3
"729",2,3,1,6,6,8
"730",1,2,1,1,1,4
"731",1,1,5,1,NA,22
"732",1,3,5,1,NA,9
"733",2,2,3,1,1,16
"734",2,5,4,3,2,14
"735",2,3,4,1,1,14
"736",1,3,3,NA,5,8
"737",1,4,5,6,6,20
"738",1,3,4,1,1,13
"739",1,NA,4,5,5,20
"740",1,3,5,1,1,2
"741",2,3,4,1,1,1
"742",1,2,3,1,1,1
"743",1,2,4,NA,NA,8
"744",1,4,3,3,3,5
"745",1,4,2,1,1,13
"746",1,3,3,3,3,16
"747",1,5,2,4,4,11
"748",2,2,2,5,5,10
"749",2,5,4,4,4,8
"750",1,3,2,6,NA,15
"751",1,3,3,1,NA,12
"752",2,3,1,5,5,4
"753",2,1,3,1,1,8
"754",1,2,2,2,2,18
"755",2,2,3,5,5,8
"756",1,2,2,1,NA,14
"757",1,NA,2,1,1,25
"758",1,3,3,2,2,17
"759",NA,NA,NA,NA,NA,0
"760",2,4,3,7,NA,9
"761",1,3,1,3,NA,9
"762",2,3,1,4,NA,10
"763",1,2,3,1,1,17
"764",2,NA,3,2,2,20
"765",1,4,NA,2,1,1
"766",1,4,3,6,6,19
"767",NA,NA,3,1,1,22
"768",NA,2,3,6,3,29
"769",NA,NA,NA,NA,NA,0
"770",2,1,1,2,NA,15
"771",1,NA,3,4,4,2
"772",1,3,4,4,4,1
"773",NA,NA,NA,NA,NA,0
"774",2,2,5,5,5,12
"775",1,2,1,2,2,22
"776",1,NA,4,1,1,14
"777",2,4,3,4,4,12
"778",2,4,4,1,1,8
"779",1,1,2,1,1,8
"780",1,NA,3,2,2,8
"781",1,NA,2,2,2,9
"782",1,3,5,5,4,11
"783",1,2,2,NA,NA,11
"784",2,2,2,1,1,9
"785",2,4,3,6,6,13
"786",1,4,4,2,2,13
"787",1,NA,4,2,2,8
"788",NA,2,2,1,1,15
"789",2,3,4,3,3,16
"790",1,2,2,1,1,23
"791",NA,1,NA,1,1,9
"792",1,4,3,2,2,10
"793",2,2,3,3,3,11
"794",2,5,2,5,5,25
"795",1,5,4,7,7,9
"796",NA,NA,2,1,1,8
"797",1,1,2,1,1,3
"798",1,3,3,1,1,4
"799",2,NA,1,1,1,12
"800",1,4,4,6,6,14
"801",2,2,3,4,4,9
"802",2,5,4,7,7,10
"803",NA,3,5,2,NA,23
"804",1,6,3,6,5,9
"805",1,NA,4,1,1,11
"806",1,3,5,4,4,24
"807",1,2,2,4,4,18
"808",1,1,3,2,2,29
"809",1,5,5,5,5,8
"810",1,4,3,1,1,19
"811",1,4,5,2,2,17
"812",2,4,4,NA,NA,10
"813",NA,2,2,3,3,31
"814",1,4,2,NA,NA,2
"815",2,3,2,3,3,1
"816",2,5,5,5,6,1
"817",1,3,3,6,6,5
"818",1,NA,2,2,4,20
"819",1,5,4,7,7,9
"820",1,5,3,5,5,13
"821",2,4,3,3,3,20
"822",1,NA,3,3,3,12
"823",1,1,2,1,1,27
"824",1,4,2,4,NA,2
"825",1,3,3,2,2,9
"826",1,3,6,4,4,9
"827",1,2,4,4,4,20
"828",2,2,4,4,4,10
"829",1,5,2,6,6,12
"830",1,3,4,3,3,7
"831",2,6,2,4,4,10
"832",1,3,4,1,1,5
"833",1,4,4,7,7,18
"834",1,4,2,1,1,0
"835",1,2,3,1,1,16
"836",1,4,4,6,6,7
"837",1,5,5,5,5,11
"838",2,3,3,7,7,8
"839",1,3,3,7,7,12
"840",1,4,3,6,4,10
"841",2,1,0,1,1,8
"842",1,4,1,2,2,10
"843",1,3,2,1,1,9
"844",NA,2,1,2,2,20
"845",1,2,2,1,1,15
"846",2,5,NA,7,7,16
"847",2,3,4,2,2,0
"848",1,5,4,3,3,0
"849",1,6,3,4,4,0
"850",2,NA,3,1,1,15
"851",1,NA,2,1,NA,8
"852",1,4,2,1,NA,7
"853",1,3,3,2,2,0
"854",2,2,5,3,3,15
"855",2,2,2,5,5,17
"856",1,3,4,2,2,15
"857",1,4,3,4,4,14
"858",1,2,1,1,1,22
"859",1,4,4,1,1,27
"860",1,2,3,1,1,8
"861",2,4,3,3,3,15
"862",1,5,4,7,7,0
"863",1,5,4,7,7,0
"864",1,4,5,1,1,18
"865",1,NA,2,1,1,11
"866",1,4,3,2,2,11
"867",2,2,4,NA,NA,8
"868",2,2,1,NA,NA,20
"869",NA,3,3,NA,NA,0
"870",1,4,2,1,1,21
"871",1,5,2,7,7,14
"872",1,3,2,2,2,8
"873",1,3,4,1,1,21
"874",1,4,4,7,7,16
"875",1,2,4,7,7,8
"876",2,3,4,5,NA,16
"877",2,NA,3,4,4,2
"878",1,3,4,4,3,8
"879",2,NA,5,7,7,10
"880",2,3,4,4,NA,0
"881",1,3,4,4,NA,0
"882",2,3,5,3,NA,10
"883",NA,2,3,4,NA,23
"884",2,3,4,2,2,6
"885",NA,NA,5,NA,NA,32
"886",2,2,3,3,3,16
"887",1,4,4,1,1,23
"888",1,3,2,1,1,15
"889",2,4,5,4,4,13
"890",2,4,4,7,7,18
"891",1,2,1,1,1,24
"892",1,5,NA,6,6,0
"893",2,4,4,2,2,4
"894",1,4,4,1,1,10
"895",1,3,3,3,3,10
"896",1,2,5,5,5,11
"897",1,4,4,6,6,8
"898",NA,2,3,NA,NA,4
"899",2,1,2,NA,NA,1
"900",1,2,3,NA,NA,4
"901",2,1,3,NA,NA,3
"902",1,4,1,1,1,14
"903",1,2,3,1,1,12
"904",1,1,4,1,1,11
"905",2,4,1,2,4,12
"906",2,NA,3,4,4,11
"907",2,NA,3,1,1,22
"908",1,NA,4,7,7,10
"909",1,NA,4,7,7,12
"910",1,NA,3,3,3,22
"911",2,2,2,1,1,14
"912",1,3,2,5,5,2
"913",2,2,4,2,2,9
"914",NA,2,2,2,2,4
"915",1,4,4,6,3,0
"916",1,2,2,1,NA,16
"917",1,2,3,2,2,24
"918",1,3,4,1,1,8
"919",1,3,4,1,1,8
"920",NA,3,4,3,1,25
"921",1,4,6,2,NA,23
"922",1,2,5,1,1,14
"923",1,5,5,3,3,2
"924",2,2,4,5,3,13
"925",NA,5,2,3,3,16
"926",1,3,4,1,1,12
"927",1,4,4,NA,NA,19
"928",2,3,4,7,7,10
"929",2,2,10,NA,7,9
"930",2,3,4,2,NA,5
"931",1,2,NA,5,7,18
"932",2,1,2,1,1,16
"933",1,1,2,1,NA,4
"934",1,3,2,4,4,8
"935",2,4,4,2,2,16
"936",1,4,5,3,5,10
"937",2,2,2,1,NA,4
"938",1,3,2,1,1,0
"939",1,3,5,4,4,14
"940",1,NA,5,NA,NA,11
"941",1,3,4,2,2,21
"942",1,4,1,3,3,12
"943",2,4,3,2,2,17
"944",1,5,4,7,7,7
"945",1,NA,3,3,3,19
"946",1,NA,4,5,5,21
"947",NA,1,3,7,1,17
"948",1,4,3,2,1,23
"949",1,NA,3,2,2,10
"950",2,NA,4,1,1,18
"951",1,NA,3,1,1,23
"952",1,NA,3,1,1,10
"953",2,NA,2,7,7,8
"954",2,4,4,2,1,11
"955",1,2,3,2,2,16
"956",2,4,4,4,2,15
"957",1,4,3,7,7,8
"958",2,3,5,3,3,22
"959",2,1,3,1,1,15
"960",1,4,2,6,6,16
"961",2,4,2,2,3,9
"962",1,4,2,1,3,0
"963",1,2,3,2,2,8
"964",1,2,2,1,1,11
"965",1,5,6,5,5,4
"966",1,2,5,2,2,4
"967",1,3,4,1,1,0
"968",1,3,2,1,1,15
"969",1,2,3,2,1,16
"970",1,3,4,1,1,0
"971",1,4,4,1,1,0
"972",1,4,5,1,1,16
"973",1,2,5,1,1,19
"974",1,3,5,2,2,14
"975",1,3,3,2,2,12
"976",2,NA,4,2,2,14
"977",2,NA,3,6,1,13
"978",1,2,4,2,1,0
"979",1,4,4,NA,4,3
"980",2,2,4,1,1,0
"981",1,2,5,1,NA,2
"982",1,3,1,3,3,6
"983",1,4,4,2,2,16
"984",1,4,4,7,7,13
"985",2,4,3,1,1,10
"986",1,4,1,1,1,8
"987",2,3,4,3,3,14
"988",2,2,4,7,6,9
"989",1,4,4,2,2,9
"990",1,2,2,1,1,16
"991",2,4,1,2,2,4
"992",1,3,2,3,3,0
"993",2,NA,3,2,2,21
"994",2,3,4,NA,2,8
"995",1,2,1,1,1,16
"996",1,2,3,3,NA,13
"997",1,3,2,NA,5,20
"998",1,1,3,1,NA,12
"999",2,3,3,4,4,8
"1000",1,4,2,NA,7,10
"1001",2,2,5,1,1,24
"1002",2,3,5,NA,3,11
"1003",1,4,3,4,4,20
"1004",2,3,3,5,3,27
"1005",1,4,2,7,7,22
"1006",1,4,2,2,1,16
"1007",1,5,3,4,4,16
"1008",1,4,4,7,7,9
"1009",1,2,2,5,3,26
"1010",1,4,4,7,7,25
"1011",2,NA,1,1,1,13
"1012",2,3,2,NA,NA,10
"1013",1,4,3,3,3,16
"1014",1,1,1,1,1,28
"1015",1,3,2,3,3,20
"1016",2,2,1,1,1,8
"1017",1,4,3,7,7,9
"1018",2,NA,3,1,1,1
"1019",2,2,3,5,5,2
"1020",1,4,4,3,3,0
"1021",2,2,3,2,2,9
"1022",1,5,3,5,5,14
"1023",2,2,3,6,6,11
"1024",2,4,2,6,6,10
"1025",1,2,3,3,3,27
"1026",2,2,3,NA,NA,2
"1027",1,3,3,1,1,11
"1028",2,2,5,1,1,10
"1029",1,2,4,1,1,0
"1030",1,4,5,4,4,25
"1031",NA,3,4,4,4,0
"1032",1,2,5,7,7,6
"1033",1,2,3,5,5,11
"1034",2,4,3,4,3,13
"1035",1,2,2,4,NA,2
"1036",2,2,2,1,1,4
"1037",1,3,1,1,1,20
"1038",1,3,2,4,NA,0
"1039",2,2,2,4,NA,16
"1040",1,4,2,7,7,16
"1041",1,4,2,3,3,16
"1042",2,6,2,7,7,2
"1043",1,2,2,7,4,13
"1044",NA,2,5,2,2,16
"1045",2,2,3,1,1,15
"1046",1,2,3,4,4,10
"1047",1,2,5,3,3,13
"1048",2,2,4,7,6,8
"1049",1,NA,4,7,7,10
"1050",1,5,2,5,5,14
"1051",1,2,5,2,2,20
"1052",1,4,3,4,4,9
"1053",2,4,3,7,7,11
"1054",2,3,3,4,4,8
"1055",1,5,3,NA,4,13
"1056",2,4,4,4,4,9
"1057",1,3,4,5,5,10
"1058",2,2,3,6,6,10
"1059",1,2,3,6,6,13
"1060",2,2,4,2,2,9
"1061",2,4,4,5,5,15
"1062",2,2,6,4,3,8
"1063",1,4,4,6,6,11
"1064",1,2,2,1,1,16
"1065",1,3,4,NA,7,0
"1066",2,3,4,NA,6,12
"1067",1,3,4,6,6,18
"1068",1,4,3,4,4,8
"1069",2,3,3,1,1,14
"1070",2,4,4,1,1,14
"1071",2,NA,3,3,3,13
"1072",1,4,3,NA,NA,20
"1073",2,2,5,7,7,15
"1074",1,2,5,5,5,15
"1075",1,2,4,4,1,15
"1076",1,2,4,4,1,18
"1077",2,NA,4,4,1,14
"1078",2,4,5,5,5,16
"1079",1,5,5,5,5,12
"1080",1,4,4,7,7,18
"1081",2,4,4,7,7,11
"1082",1,3,4,2,2,15
"1083",1,2,2,4,4,15
"1084",2,2,NA,1,1,9
"1085",2,2,4,3,3,11
"1086",2,2,3,1,1,8
"1087",1,1,2,NA,NA,0
"1088",1,2,3,1,1,8
"1089",2,3,3,NA,NA,10
"1090",1,4,1,1,1,11
"1091",1,1,4,1,1,26
"1092",1,3,4,1,1,14
"1093",1,1,2,4,4,25
"1094",2,2,2,7,7,8
"1095",1,4,2,4,4,13
"1096",2,5,2,5,5,30
"1097",1,NA,4,1,1,5
"1098",1,2,4,2,1,15
"1099",1,2,4,4,1,0
"1100",2,2,4,4,NA,17
"1101",1,5,4,5,5,11
"1102",1,4,4,3,3,0
"1103",1,5,2,NA,5,5
"1104",1,1,4,1,1,28
"1105",2,4,3,3,2,18
"1106",1,2,3,1,1,18
"1107",2,NA,4,4,4,13
"1108",2,NA,8,3,3,14
"1109",2,3,4,4,4,10
"1110",1,NA,5,7,7,17
"1111",2,NA,4,1,1,16
"1112",1,NA,4,1,1,12
"1113",1,NA,2,4,3,8
"1114",1,NA,3,1,1,10
"1115",1,5,2,2,NA,14
"1116",1,2,2,2,2,0
"1117",2,4,3,2,1,14
"1118",1,4,1,2,2,1
"1119",1,4,2,3,3,18
"1120",1,3,4,6,5,20
"1121",NA,4,4,5,6,0
"1122",1,4,4,4,4,8
"1123",1,4,4,2,2,8
"1124",1,4,3,NA,6,8
"1125",1,2,2,2,2,16
"1126",1,4,4,7,7,29
"1127",1,1,4,1,1,32
"1128",2,3,3,3,3,0
"1129",1,1,2,1,1,20
"1130",1,3,3,6,6,11
"1131",2,1,2,1,1,30
"1132",1,2,5,2,2,23
"1133",2,2,4,4,4,22
"1134",2,3,3,1,1,24
"1135",2,3,1,3,3,15
"1136",1,4,4,2,2,25
"1137",1,4,4,2,2,10
"1138",1,2,1,1,1,15
"1139",1,2,4,1,1,18
"1140",1,1,4,1,1,17
"1141",1,1,1,1,1,21
"1142",1,1,1,1,1,26
"1143",1,4,2,3,2,16
"1144",2,2,2,2,1,13
"1145",1,2,2,2,2,14
"1146",2,NA,3,5,5,8
"1147",1,3,5,5,5,25
"1148",1,4,4,1,1,10
"1149",1,4,4,1,1,10
"1150",2,2,5,4,2,21
"1151",2,NA,2,7,7,17
"1152",2,3,4,6,6,9
"1153",2,4,4,3,3,16
"1154",1,4,2,4,3,17
"1155",1,4,2,1,NA,26
"1156",2,2,2,1,1,6
"1157",1,2,4,3,3,20
"1158",1,4,6,1,1,8
"1159",1,2,6,1,1,14
"1160",2,4,6,1,1,0
"1161",2,1,6,2,2,11
"1162",2,1,6,1,1,10
"1163",1,1,6,2,2,13
"1164",1,1,2,2,2,32
"1165",2,1,2,2,2,18
"1166",1,4,3,7,7,24
"1167",2,2,3,7,7,10
"1168",1,4,5,7,4,21
"1169",2,NA,4,7,7,8
"1170",2,2,3,4,4,13
"1171",1,2,4,7,7,14
"1172",2,NA,4,4,4,14
"1173",1,2,2,1,NA,14
"1174",1,2,3,2,3,15
"1175",1,2,3,2,2,8
"1176",1,2,4,7,7,0
"1177",1,2,5,7,7,8
"1178",1,4,3,7,7,13
"1179",1,NA,3,2,1,8
"1180",1,NA,3,2,2,13
"1181",2,NA,3,2,NA,13
"1182",2,NA,5,3,1,9
"1183",1,NA,3,2,2,17
"1184",1,5,2,3,3,0
"1185",2,NA,1,2,1,27
"1186",1,3,5,7,7,19
"1187",1,5,4,7,7,9
"1188",1,2,3,2,NA,8
"1189",2,2,6,1,2,14
"1190",1,3,3,4,4,24
"1191",1,2,3,3,3,19
"1192",1,2,4,2,NA,13
"1193",1,3,3,1,3,10
"1194",1,4,NA,2,1,8
"1195",2,2,3,1,2,8
"1196",1,2,3,1,2,0
"1197",NA,2,2,7,7,2
"1198",2,5,1,4,3,0
"1199",1,2,5,7,7,8
"1200",1,4,3,7,7,8
"1201",2,4,4,NA,7,8
"1202",1,NA,3,2,2,15
"1203",2,3,4,NA,4,8
"1204",1,2,2,3,1,29
"1205",2,2,3,5,5,14
"1206",1,NA,2,1,1,0
"1207",2,NA,3,7,7,13
"1208",1,NA,5,NA,NA,17
"1209",2,4,4,5,5,9
"1210",2,2,3,2,2,13
"1211",1,2,3,5,5,0
"1212",2,2,4,7,7,20
"1213",1,4,4,5,5,8
"1214",1,5,3,5,5,19
"1215",2,4,4,4,4,8
"1216",1,4,3,7,7,15
"1217",1,4,5,6,6,8
"1218",1,4,2,5,5,12
"1219",1,4,4,7,7,8
"1220",1,4,4,6,6,14
"1221",1,4,4,3,NA,5
"1222",1,4,2,4,4,8
"1223",2,2,2,6,6,8
"1224",1,4,2,7,7,17
"1225",1,5,3,1,1,0
"1226",2,5,3,6,2,12
"1227",1,3,1,1,NA,11
"1228",1,2,4,2,1,9
"1229",1,3,2,2,NA,5
"1230",1,3,4,1,1,18
"1231",1,4,6,3,3,0
"1232",2,2,4,7,7,18
"1233",1,6,2,7,7,8
"1234",1,4,1,1,1,26
"1235",2,1,2,2,NA,15
"1236",2,4,1,5,5,10
"1237",1,5,4,7,7,15
"1238",1,5,4,5,5,15
"1239",1,4,4,3,3,23
"1240",2,4,4,3,3,8
"1241",1,4,1,1,1,21
"1242",2,6,1,7,7,14
"1243",1,4,3,3,3,16
"1244",1,4,1,1,1,9
"1245",2,4,2,1,1,10
"1246",1,2,4,6,4,0
"1247",1,4,5,7,5,19
"1248",2,4,3,2,2,10
"1249",1,6,2,7,7,1
"1250",1,1,4,1,1,0
"1251",1,3,2,3,3,13
"1252",2,2,2,3,3,10
"1253",1,5,3,5,7,17
"1254",1,4,4,3,3,19
"1255",2,2,3,7,7,10
"1256",1,2,3,2,2,9
"1257",1,1,2,1,1,0
"1258",1,3,4,3,3,13
"1259",2,4,2,2,2,0
"1260",2,4,1,4,1,18
"1261",2,3,4,3,3,8
"1262",1,6,1,2,2,2
"1263",2,5,2,7,7,8
"1264",1,4,5,1,1,13
