Cultivar,Anthrac,Rust,GrainM,Seedwt,%Germ,Pani Hght,Pani Length,Grain Yld,Julian days
PI665166,2,1,2,3.17,70,185,17,28.934,127
PI665165,4,1,2,4.02,88,270,20,54.174,127
PI661148,5,3,3,2.78,70,145,15,30.352,109
PI660638,2,1,,,,220,20,12.202,118
PI660637,5,1,2,3.22,81,218,18,26.511,128
PI644717,2,5,3,2.17,5,220,15,,
PI644502,4,3,4,1.52,49,200,30,3.844,127
PI576431,2,3,2,1.76,64,125,25,17.377,109
PI576381,2,1,4,2.4,64,60,10,8.621,109
PI576380,3,1,2,3.33,28,72,12,14.988,109
PI576379,2,1,2,1.52,63,82,20,6.336,109
PI576377,2,1,3,1.58,34,90,15,1.992,109
PI576376,2,5,3,2.38,35,60,10,8.382,109
PI576375,2,6,4,2.26,31,165,20,5.895,128
PI576344,2,1,5,2.03,68,90,10,13.535,109
PI564780,2,2,,,,260,25,10.755,142
PI564779,2,4,4,1.82,15,135,40,28.492,127
PI564778,2,4,,,,280,30,13.643,142
PI564777,3,3,,,,270,30,,
PI564776,2,1,,1.56,20,230,30,2.136,128
PI534157,4,1,3,1.68,56,80,30,17.586,109
PI534152,2,3,4,1.75,22,135,35,9.151,109
PI534151,2,2,3,1.92,43,88,30,9.443,109
PI534146,5,1,3,1.44,18,110,20,13.859,109
PI534131,2,1,2,1.83,33,70,20,8.453,109
PI534121,2,1,4,1.31,31,110,10,9.922,109
PI534116,2,1,2,1.31,89,100,20,7.355,109
PI534115,4,1,3,2.61,28,85,15,5.65,109
PI533918,2,1,2,3.04,75,85,10,8.742,109
PI533903,2,1,4,1.4,26,125,30,8.27,109
PI330821,2,1,,,,,,,
PI330819,4,3,3,1.31,14,85,15,8.926,109
PI330764,2,3,,,,,,,
PI330288,5,3,,,,120,15,10.122,142
PI330261,2,2,4,2.17,62.86,160,30,6.448,127
PI330255,2,6,3,1.58,30,70,10,,
PI330230,2,5,,,,185,20,10.233,109
PI330004,2,2,,,,,,,
PI330000,3,1,,,,,,,
PI329968,2,3,,,,,,33.672,128
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,,,,,,,,5.637,127
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,2,1,,,,,,43.987,148
PI267624,3,3,2,2.94,83,115,10,15.785,109
PI267618,5,3,2,1.5,16,165,20,35.493,109
PI267606,2,1,3,2.79,70,120,20,10.557,109
PI267588,4,6,3,2.05,22,230,20,12.559,128
PI267565,2,1,3,1.52,84,230,20,6.129,127
PI267557,2,2,,,,220,30,4.162,128
PI257601,2,1,3,1.95,27.69,220,25,,
PI251637,2,3,2,1.72,81,130,15,19.936,109
PI197462,3,1,3,2.92,80,175,30,9.756,109
PI194355,2,5,4,1.61,,85,10,4.417,109
PI148101,4,1,3,1.32,23,280,20,9.291,142
PI148086,3,2,,,,,,,
PI147833,3,1,,,,,,,
PI663869,2,2,,,,,,,
PI330271,,,,,,,,,
PI533923,2,5,3,3.3,44,140,20,24.533,109
PI533920,3,3,5,1.63,27,60,10,5.382,128
PI533828,2,4,4,1.95,16,145,10,10.363,109
PI533800,4,1,3,1.69,60,95,10,12.197,109
PI533799,2,1,3,3.19,39,80,20,26.6,109
PI533792,2,2,3,2.07,30,115,15,,
PI534001,2,1,2,2.7,74,100,22,16.609,127
PI514502,2,2,,,,,,,
PI514496,2,1,,,,,,,
PI514485,2,2,,,,,,,
PI514484,2,4,,,,,,,
PI514474,2,2,,,,,,,
PI514472,2,4,,,,,,,
PI514471,2,3,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,2,,,,,,,
PI514460,2,4,,,,,,,
PI514457,2,4,,,,,,,
PI514456,2,1,,,,,,,
PI514455,2,2,,,,,,,
PI514454,2,3,,,,,,,
PI514453,2,2,,,,,,,
PI514440,2,1,,,,,,17.901,109
PI514437,2,3,2,1.31,91.25,,,,
PI514431,2,4,,,,,,17.673,127
PI514429,2,3,,,,,,,
PI514415,2,4,,,,,,,
PI514414,2,1,,,,,,,
PI514413,2,3,,,,,,,
PI514412,2,6,3,1.12,42,190,20,9.902,109
PI514411,2,2,2,2.32,90,,,,
PI514409,2,2,,,,,,6.378,127
PI514406,2,2,,,,,,,
PI514399,2,2,2,2.4,91,200,20,32.806,109
PI514398,2,1,3,1.63,86,,,25.506,109
PI514394,2,5,2,1.3,39,175,30,9.852,109
PI514393,2,1,2,2.27,53,210,25,25.875,109
PI514392,2,1,,,,,,22.058,128
PI514386,2,3,,,,,,,
PI514385,2,4,,,,,,,
PI514365,2,5,3,1.39,41,180,25,,
PI514348,2,2,,,,,,,
PI514347,2,3,,,,,,,
PI514338,2,3,,,,,,,
PI514318,2,1,2,3.43,72.22,,,,
PI514310,,,,,,,,4.847,109
PI514308,2,3,2,1.28,35.53,140,15,,
PI514288,3,4,3,3.66,91,170,15,13.353,109
PI514287,2,3,,2.52,38,230,20,24.31,137
PI514286,2,4,4,4.12,47,180,20,12.489,109
PI514285,2,2,,,,,,9.732,142
PI514281,2,4,,,,,,,
PI514280,2,1,,,,,,78.914,148
PI514279,2,4,,,,,,3.18,126
PI669795,2,4,3,2,38,145,20,,
PI669704,2,1,3,1.94,83,70,10,22.326,109
PI669703,2,2,2,2.93,70,120,30,5.605,109
PI669702,2,1,3,2.01,90,140,15,14.737,109
PI669699,2,3,3,2.2,75,160,20,11.416,109
PI669698,5,1,4,2,70,170,20,14.015,112
PI669639,3,6,3,2.64,58,70,10,,
PI669638,3,5,3,3.01,82,130,20,31.785,112
PI669637,2,1,3,2.75,77,120,10,22.138,112
PI669636,2,3,3,2.83,83,145,20,,
PI668763,3,2,3,2.42,72,165,20,12.437,112
PI668757,5,3,3,1.8,64,175,20,13.169,112
PI668726,2,3,3,2.22,72,165,20,18.713,112
PI668723,2,3,3,2.23,51,170,20,14.633,112
PI668717,2,1,3,1.64,33,220,30,7.455,127
PI514531,2,4,,,,,,,
PI514521,2,1,,,,,,14.801,112
PI514519,2,1,,,,,,,
PI514516,2,2,2,1.52,83,220,30,,
PI514507,2,2,,,,,,9.307,128
PI514506,2,3,,,,,,15.073,112
PI514505,2,2,,,,,,8.562,112
PI665169,2,3,2,3.53,85,240,20,41.958,127
PI665168,3,1,3.5,1.8,23,260,20,,
PI665167,2,4,4,2.72,27,280,20,19.966,112
PI514580,2,3,,,,,,,
PI514578,2,2,,,,,,,
PI514577,2,2,,,,,,,
PI514562,2,3,,,,,,0.674,112
PI514558,2,2,,,,,,,
PI514551,2,4,,,,,,9.374,112
PI514546,2,1,,,,,,,
PI514538,2,1,2,1.51,83,200,30,,
PI514534,2,2,,,,,,,
PI514533,2,2,,,,,,,
PI514605,2,3,3,2.45,51,125,20,10.258,112
PI514603,2,1,,,,,,,
PI514602,2,3,,,,,,,
PI514601,2,3,2,2.91,91,155,25,14.059,112
PI514597,2,3,,,,,,,
PI514595,2,1,,,,,,,
PI514589,2,3,,,,,,,
PI514583,2,1,,,,,,,
PI514582,2,2,,,,,,,
PI514581,2,3,,,,,,,
PI533861,2,1,5,,,75,15,,
PI522145,2,1,,,,,,,
PI514614,2,2,,,,,,,
PI514613,2,2,,,,,,,
PI514612,2,1,,,,,,18.658,112
PI514611,2,2,,,,,,,
PI514610,2,4,,,,,,,
PI514609,2,3,,,,,,22.614,142
PI514608,2,4,,,,,,,
PI514606,2,2,,,,,,,
PI665159,2,1,,,,,,,
PI656032,2,1,2,2.01,55,200,25,22.107,112
PI647797,2,1,,,,,,,
PI647745,2,1,,,,,,,
PI647732,2,1,,,,,,,
PI647721,2,5,,,,,,,
PI576432,2,1,4,2.23,11,110,15,,
PI563485,2,5,5,1.8,4,165,20,6.643,112
PI563484,,,,,,,,3.942,127
PI563482,5,1,2,3.41,79,170,20,8.941,112
RTx2536 (PI656010),2,2,4,1.86,50,120,20,8.905,126
BTx623,5,1,4,1.61,28,125,20,3.754,127
PI609251,5,1,4,2.21,54,190,20,4.523,112
SC748,2,1,3,2.28,74,90,15,22.532,112
TAM428,5,1,5,2.04,27,100,20,0.561,128
SC719,2,1,2,2.21,22,95,15,9.64,112
TX2911(PI607931),2,1,3,1.48,42,85,10,19.129,112
QL3 (PI656060),,,,,,,,3.682,112
Theis (PI651497),,,,,,,,,
Brandeis (PI576436),,,,,,,,10.045,128
SC326-6,,,,,,,,6.029,109
SC328C,,,,,,,,24.607,109
SC414-12E,,,,,,,,24.322,109
BTx378,,,,,,,,9.461,148
BTx398,,,,,,,,20.343,112
SC283,,,,,,,,11.227,112
SC112-14,,,,,,,,34.755,112
IS18760,,,,,,,,17.694,112
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,4.706,142
PI665166,2,3,4,2.68,27.27,195,15,70.278,127
PI665165,4,1,5,1.47,10.96,265,15,16.463,127
PI661148,3,1,3,2.65,44,140,20,39.366,109
PI660638,2,3,3,,,245,15,27.389,118
PI660637,3,4,3,2.45,72,160,15,20.996,128
PI644717,2,4,4,2.24,15,215,20,,
PI644502,2,4,4,1.74,76,220,30,6.431,127
PI576431,2,1,3,2.07,43,145,20,12.322,109
PI576381,2,1,5,1.99,75,60,15,7.214,109
PI576380,2,1,3,3.04,60,68,15,21.058,109
PI576379,2,1,4,1.39,67,98,20,5.22,109
PI576377,3,2,3,1.68,21,90,20,10.819,109
PI576376,2,3,5,2.1,27,65,15,7.413,109
PI576375,2,6,4,2.35,26,125,20,6.671,128
PI576344,2,1,3,2.11,76,70,10,14.723,109
PI564780,2,1,,,,300,30,22.994,142
PI564779,2,2,,1.17,7.27,140,30,13.092,127
PI564778,2,5,,2.11,80,280,30,11.681,142
PI564777,2,3,,1.68,77,275,25,,
PI564776,2,1,,2.19,51,170,30,1.941,128
PI534157,5,1,4,2.38,55,125,10,12.301,109
PI534152,2,1,4,1.94,38,120,40,8.916,109
PI534151,2,2,4,1.75,31,70,25,7.952,109
PI534146,3,1,4,2.19,14,95,20,31.438,109
PI534131,2,1,4,1.19,6,85,30,2.304,109
PI534121,2,1,5,1.63,29,135,15,5.044,109
PI534116,2,1,4,,,105,30,8.226,109
PI534115,3,1,3,1.75,71,85,20,17.633,109
PI533918,2,3,5,1.57,3,90,15,0.57,109
PI533903,2,1,3,3.18,45,110,20,36.375,109
PI330821,2,1,4,1.6,45,,,,
PI330819,2,1,,,,110,15,17.597,109
PI330764,2,4,4,2.68,76,,,,
PI330288,,,,,,90,10,,142
PI330261,2,4,4,2.44,80,175,15,,127
PI330255,2,2,5,2.84,77,75,15,,
PI330230,2,5,,,,185,10,18.322,109
PI330004,2,2,,,,,,,
PI330000,2,3,,,,,,,
PI329968,2,3,,,,,,,128
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,2,,,,,,9.473,127
PI276832,2,1,,,,,,,
PI276822,2,1,,,,,,,
PI267655,2,1,,,,,,,148
PI267624,2,3,2,2.73,83,115,15,47.741,109
PI267618,3,1,2,1.69,40,180,25,52.687,109
PI267606,2,2,3,3.24,71,135,20,6.336,109
PI267588,4,5,4,2.24,24,230,20,,128
PI267565,2,1,3,1.63,64,210,20,9.313,127
PI267557,2,2,3,1.48,42,230,30,7.086,128
PI257601,2,1,2,3.01,81,225,20,,
PI251637,2,5,3,1.45,76,175,15,12.342,109
PI197462,5,4,3,3.53,78,170,30,22.112,109
PI194355,2,1,4,1.89,83,80,10,4.931,109
PI148101,4,2,,1.33,16,290,10,7.894,142
PI148086,3,3,,,,,,,
PI147833,3,1,,,,,,,
PI663869,2,4,,,,,,,
PI330271,2,1,,,,,,,
PI533923,2,1,4,3.43,58,130,15,53.281,109
PI533920,2,1,5,1.48,39,80,15,11.426,128
PI533828,2,1,4,2.23,14,125,10,9.293,109
PI533800,5,1,4,1.69,18,120,15,13.745,109
PI533799,2,1,4,2.99,27,80,20,35.701,109
PI533792,,,,,,,,,
PI534001,2,1,3,1.01,2,90,20,14.948,127
PI514502,2,1,,,,,,,
PI514496,2,3,,,,,,,
PI514485,2,3,,,,,,,
PI514484,2,4,,,,,,,
PI514474,2,3,,,,,,,
PI514472,,,,,,,,,
PI514471,,,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,3,,,,,,,
PI514460,,,,,,,,,
PI514457,,,,,,,,,
PI514456,,,,,,,,,
PI514455,2,3,,,,,,,
PI514454,,,,,,,,,
PI514453,,,,,,,,,
PI514440,2,4,,,,,,19.043,109
PI514437,2,5,,1.42,48,,,,
PI514431,2,5,,,,,,,127
PI514429,2,3,,,,,,,
PI514415,2,4,,,,,,,
PI514414,2,1,,,,,,,
PI514413,2,3,,,,,,,
PI514412,3,5,2,1.49,39,185,25,15.255,109
PI514411,2,3,,,,,,,
PI514409,2,3,,,,,,17.631,127
PI514406,2,2,,,,,,,
PI514399,3,3,2,2.68,77,190,25,19.475,109
PI514398,2,1,,1.11,53.49,,,5.539,109
PI514394,2,5,2,1.32,32,175,25,10.235,109
PI514393,2,1,3,2.2,37,200,20,28.157,109
PI514392,2,1,,,,,,19.802,128
PI514386,2,3,,,,,,,
PI514385,2,1,,,,,,,
PI514365,2,4,2,1.7,77,220,30,,
PI514348,2,4,,,,,,,
PI514347,2,4,,,,,,,
PI514338,2,3,,,,,,,
PI514318,2,1,2,2.76,86,,,,
PI514310,,,,,,,,8.287,109
PI514308,3,4,2,1.23,47,110,15,,
PI514288,4,4,3,3.39,54,250,25,25.901,109
PI514287,2,4,,,,270,25,97.748,137
PI514286,2,4,4,3.27,53.33,,,11.344,109
PI514285,2,1,,,,,,21.421,142
PI514281,2,3,,,,,,,
PI514280,2,1,,,,,,,148
PI514279,2,3,,,,,,,126
PI669795,3,3,3,2.12,38,160,25,,
PI669704,2,1,5,1.51,6,125,20,29.409,109
PI669703,2,1,3,3.05,78,115,30,13.842,109
PI669702,,,,,,160,15,,109
PI669699,2,1,,3.15,74,170,20,14.04,109
PI669698,,,,,,140,20,31.743,112
PI669639,,,,,,70,10,,
PI669638,2,3,,,,125,20,4.376,112
PI669637,,,,,,130,10,17.753,112
PI669636,,,,,,120,15,,
PI668763,3,1,3,2.9,70,165,20,22.932,112
PI668757,5,5,2,2,65,180,20,13.618,112
PI668726,5,3,4,2.12,38,170,20,7.35,112
PI668723,3,2,3,2.38,72,150,20,14.002,112
PI668717,2,1,3,1.64,8,190,30,10.633,127
PI514531,2,3,,,,,,,
PI514521,2,5,,1.28,88,,,23.285,112
PI514519,2,1,,,,,,,
PI514516,2,1,,,,180,30,,
PI514507,2,1,,,,,,7.828,128
PI514506,2,2,,,,,,14.41,112
PI514505,2,1,,,,,,15.352,112
PI665169,2,1,,2.53,62.5,195,20,37.372,127
PI665168,3,1,2,3.65,77,230,25,,
PI665167,2,3,3,3.19,59,245,20,21.982,112
PI514580,2,1,,,,,,,
PI514578,2,1,,,,,,,
PI514577,2,4,,,,,,,
PI514562,2,2,,,,,,0.386,112
PI514558,2,2,,,,,,,
PI514551,2,3,,,,,,31.49,112
PI514546,2,2,,,,,,,
PI514538,2,1,,,,250,30,,
PI514534,2,1,,,,,,,
PI514533,2,2,,,,,,,
PI514605,2,5,3,2.56,80,150,20,8.689,112
PI514603,2,1,,,,,,,
PI514602,2,2,,,,,,,
PI514601,2,4,2,2.26,97,170,20,13.932,112
PI514597,2,3,,,,,,,
PI514595,2,2,,,,,,,
PI514589,2,2,,,,,,,
PI514583,2,3,,,,,,,
PI514582,2,3,,,,,,,
PI514581,2,3,,,,,,,
PI533861,2,3,5,0.96,0,80,15,,
PI522145,2,3,,,,,,,
PI514614,2,1,,,,,,,
PI514613,2,1,,,,,,,
PI514612,2,1,,,,,,,112
PI514611,2,5,,,,,,,
PI514610,2,3,,,,,,,
PI514609,2,4,,,,,,31.389,142
PI514608,2,3,,,,,,,
PI514606,2,2,,,,,,,
PI665159,2,1,,,,,,,
PI656032,5,2,3,2.13,49,200,20,27.657,112
PI647797,2,2,,,,,,,
PI647745,2,1,,,,,,,
PI647732,2,1,,,,,,,
PI647721,2,4,,,,,,,
PI576432,2,1,4,2.79,38,110,15,,
PI563485,2,5,,,,145,20,8.296,112
PI563484,2,4,4,2.38,41,,,2.273,127
PI563482,3,2,2,2.37,47,175,15,7.062,112
RTx2536 (PI656010),2,1,5,1.88,8.89,115,20,14.07,126
BTx623,5,1,3,2.08,64,110,20,3.377,127
PI609251,5,1,3,2.48,69,190,20,7.23,112
SC748,2,1,,,,110,15,15.812,112
TAM428,5,1,4,2.38,41,100,20,0.547,128
SC719,3,1,,,,95,15,11.246,112
TX2911(PI607931),5,1,2,3.14,65,110,10,28.899,112
QL3 (PI656060),,,,,,,,6.664,112
Theis (PI651497),,,,,,,,,
Brandeis (PI576436),,,,,,,,9.563,128
SC326-6,,,,,,,,17.204,109
SC328C,,,,,,,,27.593,109
SC414-12E,,,,,,,,28.329,109
BTx378,,,,,,,,,148
BTx398,,,,,,,,24.426,112
SC283,,,,,,,,22.693,112
SC112-14,,,,,,,,32.456,112
IS18760,,,,,,,,26.845,112
PI570726,,,,,,,,,
PI569979,,,,,,,,,
PI570841,,,,,,,,3.988,142
PI665166,2,1,,1.46,8,210,10,91.503,127
PI665165,4,1,,,,240,20,73.754,127
PI661148,3,1,4,2.39,49.06,168,18,48.644,109
PI660638,2,3,,,,245,15,54.145,118
PI660637,2,1,,,,167,10,23.808,128
PI644717,2,5,4,2.43,13,225,15,,
PI644502,2,4,4,1.91,77,210,10,16.936,127
PI576431,2,3,3,1.76,40,130,20,23.717,109
PI576381,2,2,4,2.4,83,65,10,10.7,109
PI576380,4,3,3,3.62,67,50,10,39.84,109
PI576379,2,1,5,1.42,29,105,15,7.24,109
PI576377,3,1,4,1.39,20,95,15,4.272,109
PI576376,2,2,5,1.59,14,60,10,11.239,109
PI576375,2,5,4,2.2,15,150,20,6.883,128
PI576344,2,1,5,1.98,40,72,15,30.79,109
PI564780,2,1,,,,340,30,,142
PI564779,2,3,3,2.09,42,140,30,18.458,127
PI564778,2,1,,,,275,20,,142
PI564777,2,5,,,,270,30,,
PI564776,2,1,,,,230,25,5.075,128
PI534157,5,1,4,2.88,28,85,25,17.892,109
PI534152,2,1,4,1.21,16,145,35,15.635,109
PI534151,2,2,3,1.91,41,80,20,8.933,109
PI534146,3,1,,,,110,25,,109
PI534131,2,1,5,1.32,35,70,30,8.425,109
PI534121,2,2,5,1.62,82,140,10,13.674,109
PI534116,2,1,3,1.07,88,110,30,11.291,109
PI534115,4,1,4,2.62,18,85,15,38.766,109
PI533918,2,1,4,3.18,62,105,10,13.179,109
PI533903,2,1,4,1.44,28,105,20,27.909,109
PI330821,2,1,,,,,,,
PI330819,2,1,4,2.06,22,120,15,20.075,109
PI330764,2,5,,,,,,,
PI330288,,,,,,,,,142
PI330261,2,3,,,,170,10,,127
PI330255,2,4,3,2.33,64,85,10,,
PI330230,2,5,,,,,,,109
PI330004,2,1,,,,,,,
PI330000,3,2,,,,,,,
PI329968,2,3,,,,,,,128
PI329697,2,1,,,,,,,
PI329346,,,,,,,,,
PI329313,2,4,,,,,,13.203,127
PI276832,,,,,,,,,
PI276822,,,,,,,,,
PI267655,,,,,,,,,148
PI267624,,,,,,85,10,45.991,109
PI267618,,,,,,140,15,60.305,109
PI267606,,,,,,130,20,15.753,109
PI267588,3,3,3,2.43,21,,,,128
PI267565,2,1,3,1.63,81,230,20,10.13,127
PI267557,2,1,3,1.24,75,230,30,4.03,128
PI257601,2,1,,,,225,15,,
PI251637,2,4,2,2.07,78,165,15,7.356,109
PI197462,2,1,5,2.64,15,155,25,43.333,109
PI194355,2,2,4,1.71,70,110,10,6.599,109
PI148101,4,1,1,,,330,15,15.151,142
PI148086,2,1,,,,,,,
PI147833,2,2,,,,,,,
PI663869,2,3,,,,,,,
PI330271,2,1,,,,,,,
PI533923,2,3,3,3.09,68,120,10,24.383,109
PI533920,2,1,5,1.46,27,80,15,3.298,128
PI533828,2,5,4,2.48,12,130,10,20.396,109
PI533800,5,1,4,2.66,34,110,15,28.808,109
PI533799,2,1,5,2.88,5,75,20,41.682,109
PI533792,2,1,4,1.79,43,,,,
PI534001,2,1,4,2.38,16,115,20,26.588,127
PI514502,2,1,,,,,,,
PI514496,2,3,,,,,,,
PI514485,2,3,,,,,,,
PI514484,2,3,,,,,,,
PI514474,2,3,,,,,,,
PI514472,2,3,,,,,,,
PI514471,2,1,,,,,,,
PI514470,2,2,,,,,,,
PI514467,2,2,,,,,,,
PI514460,2,2,,,,,,,
PI514457,2,2,,,,,,,
PI514456,2,3,,,,,,,
PI514455,2,2,,,,,,,
PI514454,2,4,,,,,,,
PI514453,2,4,,,,,,,
PI514440,2,2,,,,,,,109
PI514437,2,3,,,,,,,
PI514431,,,,,,,,,127
PI514429,,,,,,,,,
PI514415,2,2,,,,,,,
PI514414,2,2,,,,,,,
PI514413,2,2,,,,,,,
PI514412,2,5,2,1.59,44,,,18.26,109
PI514411,2,2,2,2.33,82,,,,
PI514409,2,1,,,,,,17.477,127
PI514406,2,3,,,,,,,
PI514399,2,3,3,2.49,86,220,25,29.268,109
PI514398,2,1,2,1.29,76,,,15.782,109
PI514394,2,4,2,1.27,67,175,25,7.601,109
PI514393,2,1,2,2.22,85,200,20,41.87,109
PI514392,2,1,,,,,,38.102,128
PI514386,2,4,,,,,,,
PI514385,2,2,,,,,,,
PI514365,2,5,,1.36,31,220,25,,
PI514348,2,2,,,,,,,
PI514347,2,4,,,,,,,
PI514338,2,4,,,,,,,
PI514318,2,1,,,,,,,
