,PropFR,Number_of_Flowers,Height_Inflo,Distance
49,1.00E-04,3,37,3.51
12,1.00E-04,4,42,1.12
62,1.00E-04,5,31,2.71
1,1.00E-04,11,35,2.47
17,0.035814286,13,44,4.16
28,0.09385,13,34,2.8
57,1.00E-04,13,42,1.21
8,1.00E-04,14,43,3.12
11,0.363736364,14,51,0.09
21,0.105363158,14,43,2.56
33,0.130534783,14,46,3.03
34,0.230869231,14,51,1.3
41,1.00E-04,14,46,2.48
19,1.00E-04,15,60,1.32
37,0.178671429,15,45,0.34
9,0.037137037,16,42,1.12
16,1.00E-04,16,35,5.06
35,0.1251,16,41,3.13
55,0.077023077,16,39,2.46
6,0.0801,17,35,2.62
20,0.333433333,17,43,0.52
26,1.00E-04,17,50,6.5
3,0.0401,18,63,1.95
25,1.00E-04,18,45,1.66
2,1.00E-04,19,47,1.97
7,1.00E-04,19,51,2.82
45,0.238195238,19,41,2.08
48,0.181918182,19,35,2.81
40,1.00E-04,20,47,2.45
14,0.178671429,21,50,1.32
15,0.153946154,21,53,5.06
31,0.272827273,21,65,2.22
44,0.277877778,21,56,2.34
52,1.00E-04,21,52,2.92
47,0.296396296,22,43,2.64
56,0.045554545,22,63,0.68
10,0.333433333,23,60,0.75
13,2.60E-01,23,61,1.12
22,0.105363158,23,52,1.05
42,0.052731579,23,48,1.78
53,0.230869231,23,51,2.92
54,0.058923529,23,52,2.46
4,0.2501,24,47,3.24
36,0.045554545,24,48,6.15
43,0.178671429,24,57,2.34
58,1.00E-04,24,48,1.11
61,0.0626,24,54,3
5,2.50E-01,25,61,0.85
38,0.0501,26,49,4.6
39,3.10E-01,26,50,5.21
46,0.107242857,26,52,1.98
24,0.069065517,28,62,4.22
32,2.20E-01,28,72,2.38
59,2.20E-01,28,65,1.25
60,0.235394118,28,71,1.6
23,0.1001,30,69,4.9
29,0.153946154,30,73,1.3
30,0.111211111,32,67,0.5
51,0.085814286,32,50,3.7
18,0.153946154,33,79,1.32
27,0.2501,35,63,3
50,1.00E-01,36,72,3.51